query;find_id;session_id;position
"summer";101;-IBoZYzv;45
"teacher";4156;nu6cgakK;220
"teacher with cigarette";4156;nu6cgakK;9
"toilet student";7522;nu6cgakK;3
"dog";9373;nu6cgakK;27
"graffiti";3877;nu6cgakK;51
"fire";1821;nu6cgakK;42
"dark forest";912;nu6cgakK;48
"bohemia title";11850;nu6cgakK;67
"Bichovi";11850;nu6cgakK;9
"man red";3977;nu6cgakK;1406
"car";4156;pljoEypJ;3224
"apple";4156;pljoEypJ;55
"apple";4156;pljoEypJ;55
"dog";4156;pljoEypJ;3839
"river";4156;pljoEypJ;1930
"dog";4156;pljoEypJ;3839
"blog";4156;pljoEypJ;86
"tree";4156;pljoEypJ;2203
